Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID
Army Black Knights,United States Military Academy,Black Knights,Independent,1A,ARM,ARY,NYWP,725
Ashland Eagles,Ashland University,Eagles,Great Lakes Intercollegiate Athletic Conference,2,ASH,AU,OHAS,35
Assumption Greyhounds,Assumption College,Greyhounds,Northeast-10 Conference,2,ASS,AC,MAAS,36
Auburn Tigers,Auburn University,Tigers,Southeastern Conference,1A,AUB,AU,ALAU,37
Augsburg Auggies,Augsburg College,Auggies,Minnesota Intercollegiate Athletic Conference,3,AUA,AC,MNAV,38
Augustana College Vikings,Augustana College (S.D.),Vikings,Northern Sun Intercollegiate Conference,2,AUG,AC,SDAU,41
Augustana Vikings,Augustana College (Ill.),Vikings,College Conference of Illinois and Wisconsin,3,ACV,AC,ILAU,40
Aurora Spartans,Aurora University,Spartans,Northern Athletics Conference,3,AUR,ARA,ILAR,42
Austin Kangaroos,Austin College,Kangaroos,Southern Collegiate Athletic Conference,3,AUS,AC,TXAU,953
Austin Peay Governors,Austin Peay State University,Governors,Ohio Valley Conference,1AA,APY,AUS,TNAP,43
Ave Maria Gyrenes,Ave Maria University,Gyrenes,The Sun Conference,NAIA,AVE,AM,FLAV,506346
Averett Cougars,Averett University,Cougars,USA South Athletic Conference,3,AVE,AVR,VAAV,44
Azusa Pacific Cougars,Azusa Pacific University,Cougars,Great Northwest Athletic Conference,2,AP,APU,CAAZ,30146
Bacone Warriors,Bacone College,Warriors,Central States Football League,NAIA,BAC,BC,OKBC,506174
Baker Wildcats,Baker University,Wildcats,Heart of America Athletic Conference,NAIA,BAK,BU,KSBA,506059
Baldwin-Wallace Yellow Jackets,Baldwin-Wallace College,Yellow Jackets,Ohio Athletic Conference,3,BW,BAL,OHBW,46
Ball State Cardinals,Ball State University,Cardinals,Mid-American Conference,1A,BAL,BSU,INBS,47
Bates Bobcats,Bates College,Bobcats,New England Small College Athletic Conference,3,BAT,BC,MEBA,50
Baylor Bears,Baylor University,Bears,Big Twelve Conference,1A,BAY,BU,TXBA,51
Becker Hawks,Becker College,Hawks,Eastern Collegiate Football Conference,3,BEC,BC,MABK,26107
Belhaven Blazers,Belhaven University,Blazers,Mid-South Conference,NAIA,BEL,BU,MSBH,30197
Beloit Buccaneers,Beloit College,Buccaneers,Midwest Conference,3,BEL,BC,WIBE,53
Bemidji State Beavers,Bemidji State University,Beavers,Northern Sun Intercollegiate Conference,2,BSU,BEM,MNBM,54
Benedict Tigers,Benedict College,Tigers,Southern Intercollegiate Athletic Conference,2,BEN,BC,SCBC,55
Benedictine Eagles,Benedictine University,Eagles,Northern Athletics Conference,3,BUE,BU,ILBE,296
Benedictine Ravens,Benedictine College,Ravens,Heart of America Athletic Conference,NAIA,BEN,BC,KSBN,506015
Bentley Falcons,Bentley College,Falcons,Northeast-10 Conference,2,BNT,BTY,MABE,56
Berry Vikings,Berry College,Vikings,Southern Athletic Association,3,BER,BC,GABE,973
Bethany Bison,Bethany College,Bison,Presidents Athletic Conference,3,BET,BTH,WVBE,59
Bethany Swedes,Bethany College,Swedes,Kansas Collegiate Athletic Conference,NAIA,BET,BTH,KSBY,506014
Bethel Royals,Bethel University,Royals,Minnesota Intercollegiate Athletic Conference,3,BTR,BTH,MNBT,60
Bethel Threshers,Bethel College (Kan.),Threshers,Kansas Collegiate Athletic Conference,NAIA,BET,BTH,KSBL,506120
Bethel Wildcats,Bethel University,Wildcats,Mid-South Conference,NAIA,BET,BU,TNBC,500500
Bethune-Cookman Wildcats,Bethune-Cookman College,Wildcats,Mid-Eastern Athletic Conference,1AA,BCC,BET,FLBC,61
Birmingham-Southern Panthers,Birmingham-Southern College,Panthers,Southern Athletic Association,3,BS,BSC,ALBS,28593
Black Hills Yellow Jackets,Black Hills State University,Yellow Jackets,Rocky Mountain Athletic Conference,2,BH,BHS,SDBH,30134
Bloomsburg Huskies,Bloomsburg University,Huskies,Pennsylvania State Athletic Conference,2,BLO,BU,PABL,65
Bluefield Rams,Bluefield College,Rams,Mid-South Conference,NAIA,BLU,BC,VABL,500552
Bluffton Beavers,Bluffton College,Beavers,Heartland Collegiate Athletic Conference,3,BLF,BLU,OHBL,987
Boise State Broncos,Boise State University,Broncos,Mountain West Conference,1A,BOI,BSU,IDBO,66
Boston College Eagles,Boston College,Eagles,Atlantic Coast Conference,1A,BC,BOS,MABC,67
Bowdoin Polar Bears,Bowdoin College,Polar Bears,New England Small College Athletic Conference,3,BPB,BC,MEBO,69
Bowie State Bulldogs,Bowie State University,Bulldogs,Central Intercollegiate Athletic Association,2,BOW,BSU,MDBO,70
Bowling Green Falcons,Bowling Green State University,Falcons,Mid-American Conference,1A,BG,BGS,OHBG,71
Brevard Tornados,Brevard College,Tornados,South Atlantic Conference,2,BRE,BRV,NCBR,30094
Briar Cliff Chargers,Briar Cliff University,Chargers,Great Plains Athletic Conference,NAIA,BRI,BC,IABC,500615
Bridgewater College,Bridgewater College,Eagles,Old Dominion Athletic Conference,3,BRI,BC,VABR,75
Bridgewater State Bears,Bridgewater State College,Bears,Massachusetts State College Athletic Conference,3,BCB,BSC,MABR,76
Brigham Young Cougars,Brigham Young University,Cougars,Independent,1A,BYU,BY,UTBY,77
Brown Bears,Brown University,Bears,Ivy League,1AA,BU,BRO,RIBR,80
Bryant Bulldogs,Bryant University,Bulldogs,Northeast Conference,1AA,BRY,BU,RIBT,81
Bucknell Bison,Bucknell University,Bison,Patriot League,1AA,BCK,BUC,PABU,83
Buena Vista Beavers,Buena Vista University,Beavers,Iowa Intercollegiate Athletic Conference,3,BV,BUE,IABV,84
Buffalo Bulls,University at Buffalo,Bulls,Mid-American Conference,1A,BUF,UB,NYBU,86
Buffalo State Bengals,Buffalo State College,Bengals,Empire 8 Conference,3,BSB,BSC,NYBC,85
Butler Bulldogs,Butler University,Bulldogs,Pioneer Football League,1AA,BUT,BU,INBU,87
Cal Poly Mustangs,California Poly State University,Mustangs,Big Sky Conference,1AA,CPS,A,CASL,90
Calgary Dinos,University of Calgary,Dinos,Canada West Universities Athletic Association,Canada,CAL,CL,CNCA,506453
California Lutheran Kingsmen,California Lutheran University,Kingsmen,Southern California Intercollegiate Athletic Conf.,3,CAL,CLU,CALU,105
California State Sacramento Hornets,California State University-Sacramento,Hornets,Big Sky Conference,1AA,CAS,CSU,CASA,102
California University of Pennsylvania Vulcans,California University of Pennsylvania,Vulcans,Pennsylvania State Athletic Conference,2,CPA,CAL,PACS,106
California-Berkeley Golden Bears,University of California-Berkeley,Golden Bears,Pacific Twelve Conference,1A,UCB,CAL,CAUN,107
California-Davis Aggies,University of California-Davis,Aggies,Big Sky Conference,1AA,UCD,CAD,CADA,108
California-Los Angeles Bruins,University of California-Los Angeles,Bruins,Pacific Twelve Conference,1A,CLA,UCL,CALA,110
Campbell Camels,Campbell University,Camels,Pioneer Football League,1AA,CAM,CU,NCCM,115
Campbellsville Tigers,Campbellsville University,Tigers,Mid-South Conference,NAIA,CAM,CU,KYCA,500785
Capital Crusaders,Capital University,Crusaders,Ohio Athletic Conference,3,CAP,CU,OHCU,117
Carleton Knights,Carleton College,Knights,Minnesota Intercollegiate Athletic Conference,3,CAR,CC,MNCA,118
Carnegie Mellon Tartans,Carnegie Mellon University,Tartans,Presidents Athletic Conference,3,CM,CAR,PACA,119
Carroll Fighting Saints,Carroll College,Fighting Saints,Frontier Conference,NAIA,CAR,CC,MTCA,506056
Carroll Pioneers,Carroll University,Pioneers,Midwest Conference,3,CCP,CU,WICL,120
Carson-Newman Eagles,Carson-Newman College,Eagles,South Atlantic Conference,2,CNC,CAR,TNCN,1000
Carthage Red Men,Carthage College,Red Men,College Conference of Illinois and Wisconsin,3,CRM,CTH,WICG,121
Case Western Reserve Spartans,Case Western Reserve University,Spartans,Presidents Athletic Conference,3,CWR,CAS,OHCW,122
Castleton Spartans,Castleton State College,Spartans,Eastern Collegiate Football Conference,3,CUS,CSC,VTCA,123
Catawba Indians,Catawba College,Indians,South Atlantic Conference,2,CAT,CAW,NCCA,1001
Catholic Cardinals,The Catholic University of America,Cardinals,Old Dominion Athletic Conference,3,CUA,CAT,DCCA,124
Central Arkansas Bears,University of Central Arkansas,Bears,Southland Conference,1AA,UCA,CAR,ARCE,1004
Central Connecticut Blue Devils,Central Connecticut State University,Blue Devils,Northeast Conference,1AA,CCS,CEN,CTCE,127
Central Dutch,Central College,Dutch,Iowa Intercollegiate Athletic Conference,3,CCD,CC,IACE,126
Central Florida Knights,University of Central Florida,Knights,American Athletic Conference,1A,UCF,CF,FLCE,128
Central Methodist Eagles,Central Methodist University,Eagles,Heart of America Athletic Conference,NAIA,CM,CMU,MOCM,506026
Central Michigan Chippewas,Central Michigan University,Chippewas,Mid-American Conference,1A,CMU,CEN,MICE,129
Central Missouri Mules,University of Central Missouri,Mules,Mid-America Intercollegiate Athletic Association,2,UCM,CEM,MOCE,130
Central Oklahoma Bronchos,University of Central Oklahoma,Bronchos,Mid-America Intercollegiate Athletic Association,2,COB,CEN,OKCE,1009
Central State Marauders,Central State University,Marauders,Southern Intercollegiate Athletic Conference,2,CEN,CSU,OHCE,30049
Central Washington Wildcats,Central Washington University,Wildcats,Great Northwest Athletic Conference,2,CWU,CEN,WACE,1010
Centre Colonels,Centre College,Colonels,Southern Athletic Association,3,CCC,CC,KYCN,132
Chadron State Eagles,Chadron State College,Eagles,Rocky Mountain Athletic Conference,2,CSE,CSC,NECH,1012
Chapman Panthers,Chapman University,Panthers,Southern California Intercollegiate Athletic Conf.,3,CUP,CU,CACC,134
Charleston Golden Eagles,University of Charleston,Golden Eagles,Mountain East Conference,2,CH,UC,WVCH,1013
Charleston Southern Buccaneers,Charleston Southern University,Buccaneers,Big South Conference,1AA,CHA,CSU,SCCH,48
Charlotte 49ers,University of North Carolina - Charlotte,49ers,Conference USA,1A,NCC,CHA,NCCR,458
Cheyney Wolves,Cheyney University,Wolves,Pennsylvania State Athletic Conference,2,CHY,CHE,PACH,135
Chicago Maroons,University of Chicago,Maroons,Independent,3,CHI,UC,ILCH,137
Chowan Hawks,Chowan College,Hawks,Central Intercollegiate Athletic Association,2,CHW,CHO,NCCH,8875
Christopher Newport Captains,Christopher Newport University,Captains,New Jersey Athletic Conference,3,CNU,CHR,VACN,139
Cincinnati Bearcats,University of Cincinnati,Bearcats,American Athletic Conference,1A,CIN,UC,OHCI,140
Citadel Bulldogs,The Citadel,Bulldogs,Southern Conference,1AA,CIT,TC,SCCI,141
Claremont-Mudd-Scripps Stags,Claremont-Mudd-Scripps Colleges,Stags,Southern California Intercollegiate Athletic Conf.,3,CMS,CLA,CACM,142
Clarion Golden Eagles,Clarion University,Golden Eagles,Pennsylvania State Athletic Conference,2,CGE,CU,PACL,143
Clark Atlanta Black Panthers,Clark Atlanta University,Black Panthers,Southern Intercollegiate Athletic Conference,2,CAU,CLA,GACL,144
Clemson Tigers,Clemson University,Tigers,Atlantic Coast Conference,1A,CLM,CLE,SCCL,147
Coast Guard Bears,United States Coast Guard Academy,Bears,New England Football Conference,3,CG,UCG,CTCG,722
Coastal Carolina Chanticleers,Coastal Carolina University,Chanticleers,Big South Conference,1AA,CCU,COA,SCCC,149
Coe Kohawks,Coe College,Kohawks,Iowa Intercollegiate Athletic Conference,3,COE,CC,IACO,150
Colby Mules,Colby College,Mules,New England Small College Athletic Conference,3,CLB,CBY,MECO,151
Colgate Raiders,Colgate University,Raiders,Patriot League,1AA,COL,CGT,NYCG,153
College of Faith Saints,College of Faith,Saints,Independent,OTHER,CF,FAI,NCFT,506473
College of Faith Warriors,College of Faith,Warriors,Independent,NAIA,COF,FAI,ARCF,506460
College of Idaho Yotes,The College of Idaho,Yotes,Frontier Conference,NAIA,COI,CI,IDCO,500088
Colorado Buffaloes,University of Colorado,Buffaloes,Pacific Twelve Conference,1A,CO,COL,COUN,157
Colorado School of Mines Orediggers,Colorado School of Mines,Orediggers,Rocky Mountain Athletic Conference,2,CSM,COL,COMI,155
Colorado State - Pueblo Thunderwolves,Colorado State U. - Pueblo,Thunderwolves,Rocky Mountain Athletic Conference,2,CSP,COL,COSO,2720
Colorado State Rams,Colorado State University,Rams,Mountain West Conference,1A,CSU,COL,COST,156
Columbia Lions,Columbia University,Lions,Ivy League,1AA,CUL,CU,NYCL,158
Concord Mountain Lions,Concord University,Mountain Lions,Mountain East Conference,2,CND,CU,WVCO,1028
Concordia Bulldogs,Concordia University,Bulldogs,Great Plains Athletic Conference,NAIA,CU,CNU,NECO,506061
Concordia Cardinals,Concordia University,Cardinals,Mid-States Football Association,NAIA,CU,CO,MICO,501123
Concordia Cobbers,Concordia College,Cobbers,Minnesota Intercollegiate Athletic Conference,3,CC,CNC,MNCO,161
Concordia Cougars,Concordia University,Cougars,Northern Athletics Conference,3,CUC,CU,ILCT,160
Concordia Falcons,Concordia University,Falcons,Northern Athletics Conference,3,CUF,CU,WICC,1036
Concordia Golden Bears,Concordia University,Golden Bears,Northern Sun Intercollegiate Conference,2,CGB,CU,MNSP,9081
Concordia Hornets,Concordia College-Selma,Hornets,Other,NAIA,CND,CCS,ALCO,506112
Connecticut Huskies,University of Connecticut,Huskies,American Athletic Conference,1A,UCO,CND,CTUN,164
Cornell Big Red,Cornell University,Big Red,Ivy League,1AA,COR,CRN,NYCN,167
Cornell Rams,Cornell College,Rams,Midwest Conference,3,CCR,CRN,IACR,166
Cortland Red Dragons,SUNY - College at Cortland,Red Dragons,Empire 8 Conference,3,SUN,SUC,NYCT,168
Crown Storm,Crown College,Storm,Upper Midwest Athletic Conference,3,CRO,CWN,MNPB,30035
Culver-Stockton Wildcats,Culver-Stockton College,Wildcats,Heart of America Athletic Conference,NAIA,CS,CSC,MOCS,506032
Cumberland Bulldogs,Cumberland University,Bulldogs,Mid-South Conference,NAIA,CU,CUM,TNCC,501207
Cumberlands Patriots,University of the Cumberlands,Patriots,Mid-South Conference,NAIA,CUM,UOC,KYCC,506101
Curry Colonels,Curry College,Colonels,New England Football Conference,3,CUR,CRY,MACU,170
Dakota State Trojans,Dakota State University,Trojans,North Star Athletic Association,NAIA,DAK,DS,SDDS,506066
Dakota Wesleyan Tigers,Dakota Wesleyan University,Tigers,Great Plains Athletic Conference,NAIA,DW,DWU,SDWS,506033
Dartmouth Big Green,Dartmouth College,Big Green,Ivy League,1AA,DAR,DRT,NHDA,172
Davenport University,Davenport University,Panthers,Great Lakes Intercollegiate Athletic Conference,2,DVU,DVP,MIDA,30221
Davidson Wildcats,Davidson College,Wildcats,Pioneer Football League,1AA,DAV,DVD,NCDA,173
Dayton Flyers,University of Dayton,Flyers,Pioneer Football League,1AA,DAY,UD,OHDA,175
Dean College,Dean College,Dean College,Northeast JC Football Conference,3,DC,DCB,MADE,30219
Defiance Yellow Jackets,Defiance College,Yellow Jackets,Heartland Collegiate Athletic Conference,3,DEF,DC,OHDF,1050
Delaware Blue Hens,University of Delaware,Blue Hens,Colonial Athletic Association,1AA,DE,DEL,DEUN,180
Delaware State Hornets,Delaware State University,Hornets,Mid-Eastern Athletic Conference,1AA,DSU,DEL,DEST,178
Delaware Valley Aggies,Delaware Valley College,Aggies,Middle Atlantic Conference,3,DVC,DEL,PADV,179
Delta State Statesmen,Delta State University,Statesmen,Gulf South Conference,2,DEL,DSU,MSDE,181
Denison Big Red,Denison University,Big Red,North Coast Athletic Conference,3,DEN,DU,OHDN,182
DePauw Tigers,DePauw University,Tigers,North Coast Athletic Conference,3,DEP,DU,INDE,177
Dickinson Blue Hawks,Dickinson State University,Blue Hawks,North Star Athletic Association,NAIA,DSU,DIC,NDDI,506123
Dickinson Red Devils,Dickinson College,Red Devils,Centennial Conference,3,DIC,DC,PADI,185
Dixie Red Storm,Dixie State College of Utah,Red Storm,Great Northwest Athletic Conference,2,DIX,DSC,UTDX,30095
Doane Tigers,Doane College,Tigers,Great Plains Athletic Conference,NAIA,DO,DC,NEDO,30082
Dordt Defenders,Dordt College,Defenders,Great Plains Athletic Conference,NAIA,DOR,DC,IADO,501390
Drake Bulldogs,Drake University,Bulldogs,Pioneer Football League,1AA,DRA,DU,IADR,189
Dubuque Spartans,University of Dubuque,Spartans,Iowa Intercollegiate Athletic Conference,3,DUB,UD,IADU,192
Duke Blue Devils,Duke University,Blue Devils,Atlantic Coast Conference,1A,DUK,DU,NCDU,193
Duquesne Dukes,Duquesne University,Dukes,Northeast Conference,1AA,DUQ,DU,PADU,194
Earlham Quakers,Earlham College,Quakers,Heartland Collegiate Athletic Conference,3,EAR,EC,INEA,195
East Carolina Pirates,East Carolina University,Pirates,American Athletic Conference,1A,ECU,EC,NCEA,196
East Central Tigers,East Central University,Tigers,Great American Conference,2,ECT,EC,OKEC,8965
East Stroudsburg Warriors,East Stroudsburg University,Warriors,Pennsylvania State Athletic Conference,2,ESU,ES,PAES,197
East Tennessee Buccaneers,East Tennessee State University,Buccaneers,Independent,1AA,ETS,ETU,TNEA,198
East Texas Baptist Tigers,East Texas Baptist University,Tigers,American Southwest Conference,3,ETB,ETU,TXBP,1062
Eastern Illinois Panthers,Eastern Illinois University,Panthers,Ohio Valley Conference,1AA,EIU,EI,ILEA,201
Eastern Kentucky Colonels,Eastern Kentucky University,Colonels,Ohio Valley Conference,1AA,EKU,EK,KYEA,202
Eastern Michigan Eagles,Eastern Michigan University,Eagles,Mid-American Conference,1A,EMU,EM,MIEA,204
Eastern New Mexico Greyhounds,Eastern New Mexico University,Greyhounds,Lone Star Conference,2,ENM,ENU,NMEA,206
Eastern Oregon Mountaineers,Eastern Oregon University,Mountaineers,Frontier Conference,NAIA,EOU,EO,OREA,506406
Eastern Washington Eagles,Eastern Washington University,Eagles,Big Sky Conference,1AA,EWU,EW,WAEA,207
Edinboro Fighting Scots,Edinboro University,Fighting Scots,Pennsylvania State Athletic Conference,2,EU,EDI,PAED,209
Edward Waters Tigers,Edward Waters College,Tigers,The Sun Conference,NAIA,EDW,EWC,FLEW,501555
Edward Waters Tigers,Edward Waters College,Tigers,The Sun Conference,2,EDW,EWC,FLEW,30244
Elizabeth City Vikings,Elizabeth City State University,Vikings,Central Intercollegiate Athletic Association,2,ECS,EC,NCEC,210
Elmhurst Blue Jays,Elmhurst College,Blue Jays,College Conference of Illinois and Wisconsin,3,ELM,EC,ILEL,212
Elon Phoenix,Elon University,Phoenix,Colonial Athletic Association,1AA,ELO,ELN,NCEL,1068
Emory & Henry Wasps,Emory & Henry College,Wasps,Old Dominion Athletic Conference,3,EHC,EMO,VAEH,216
Emporia State Hornets,Emporia State University,Hornets,Mid-America Intercollegiate Athletic Association,2,ESH,EMP,KSTH,1071
Endicott Gulls,Endicott College,Gulls,New England Football Conference,3,END,EC,MAEN,8981
Eureka Red Devils,Eureka College,Red Devils,Upper Midwest Athletic Conference,3,EUR,EC,ILEU,218
Evangel Crusaders,Evangel University,Crusaders,Heart of America Athletic Conference,NAIA,EVA,EU,MOEV,506080
Fairleigh Dickinson-Florham Devils,Fairleigh Dickinson University-Florham,Devils,Middle Atlantic Conference,3,FDF,FDU,NJFD,221
Fairmont State Fighting Falcons,Fairmont State College,Fighting Falcons,Mountain East Conference,2,FSC,FAI,WVFA,1076
Faith Glory Eagles,University of Faith,Glory Eagles,Independent,OTHER,UF,FAI,FLFT,506485
Faulkner Eagles,Faulkner University,Eagles,Mid-South Conference,NAIA,FU,FLK,ALFA,501659
Fayetteville State Broncos,Fayetteville State University,Broncos,Central Intercollegiate Athletic Association,2,FAY,FSU,NCFA,223
Ferris State Bulldogs,Ferris State University,Bulldogs,Great Lakes Intercollegiate Athletic Conference,2,FER,FSU,MIFE,224
Ferrum Panthers,Ferrum College,Panthers,USA South Athletic Conference,3,FCP,FC,VAFC,225
Findlay Oilers,University of Findlay,Oilers,Great Lakes Intercollegiate Athletic Conference,2,FIN,UF,OHFI,1079
Finlandia Lions,Finlandia University,Lions,Independent,3,FUL,FU,MIFI,30032
Fitchburg State Falcons,Fitchburg State College,Falcons,Massachusetts State College Athletic Conference,3,FIT,FSC,MAFI,227
Florida A&M Rattlers,Florida A&M University,Rattlers,Mid-Eastern Athletic Conference,1AA,FAM,FL,FLAM,228
Florida Atlantic Owls,Florida Atlantic University,Owls,Conference USA,1A,FAU,FL,FLAT,229
Florida Gators,University of Florida,Gators,Southeastern Conference,1A,FL,FLO,FLUN,235
Florida International Golden Panthers,Florida International University,Golden Panthers,Conference USA,1A,FIU,FL,FLIN,231
Florida State Seminoles,Florida State University,Seminoles,Atlantic Coast Conference,1A,FSU,FL,FLST,234
Florida Tech Panthers,Florida Institute of Technology,Panthers,Gulf South Conference,2,FT,FTU,FLTC,230
Fordham Rams,Fordham University,Rams,Patriot League,1AA,FOR,FU,NYFO,236
Fort Hays Tigers,Fort Hays State University,Tigers,Mid-America Intercollegiate Athletic Association,2,FH,FHS,KSFH,9011
Fort Lewis Skyhawks,Fort Lewis College,Skyhawks,Rocky Mountain Athletic Conference,2,FLS,FLC,COFL,1083
Fort Valley Wildcats,Fort Valley State University,Wildcats,Southern Intercollegiate Athletic Conference,2,FV,FVS,GAFV,237
Framingham State Rams,Framingham State College,Rams,Massachusetts State College Athletic Conference,3,FRA,FSC,MAFR,238
Franklin & Marshall Diplomats,Franklin & Marshall College,Diplomats,Centennial Conference,3,FM,FMC,PAFM,239
Franklin Grizzlies,Franklin College,Grizzlies,Heartland Collegiate Athletic Conference,3,FCG,FRK,INFR,2694
Fresno State Bulldogs,Fresno State University,Bulldogs,Mountain West Conference,1A,FSB,FRE,CAFR,96
Friends Falcons,Friends University,Falcons,Kansas Collegiate Athletic Conference,NAIA,FRI,FU,KSFR,501826
Frostburg State Bobcats,Frostburg State University,Bobcats,New Jersey Athletic Conference,3,FRO,FSU,MDFR,243
Furman Paladins,Furman University,Paladins,Southern Conference,1AA,FUR,FU,SCFU,244
Gallaudet Bison,Gallaudet University,Bison,Eastern Collegiate Football Conference,3,GAL,GU,DCGA,245
Gannon Golden Knights,Gannon University,Golden Knights,Pennsylvania State Athletic Conference,2,GAN,GU,PAGA,246
Gardner-Webb Runnin' Bulldogs,Gardner-Webb University,Runnin' Bulldogs,Big South Conference,1AA,GW,GWU,NCGW,1092
Geneva Golden Tornadoes,Geneva College,Golden Tornadoes,Presidents Athletic Conference,3,GEN,GC,PAGN,30084
George Fox Bruin,George Fox University,Bruin,Northwest Conference,3,GF,GFU,ORGF,1094
Georgetown Hoyas,Georgetown University,Hoyas,Patriot League,1AA,GEO,GU,DCGT,251
Georgetown Tigers,Georgetown College (Ky.),Tigers,Mid-South Conference,NAIA,GEO,GC,KYGT,506003
Georgia Bulldogs,University of Georgia,Bulldogs,Southeastern Conference,1A,GA,GEO,GAUN,257
Georgia Southern Eagles,Georgia Southern University,Eagles,Sun Belt Conference,1A,GS,GSU,GASO,253
Georgia State Panthers,Georgia State University,Panthers,Sun Belt Conference,1A,GAS,GEO,GAST,254
Georgia Tech Yellow Jackets,Georgia Institute of Technology,Yellow Jackets,Atlantic Coast Conference,1A,GIT,GA,GATC,255
Gettysburg Bullets,Gettysburg College,Bullets,Centennial Conference,3,GET,GC,PAGB,258
Glenville State Pioneers,Glenville State College,Pioneers,Mountain East Conference,2,GLE,GSC,WVGL,1098
Grambling State Tigers,Grambling State University,Tigers,Southwestern Athletic Conference,1AA,GRA,GSU,LAGR,261
Grand Valley State Lakers,Grand Valley State University,Lakers,Great Lakes Intercollegiate Athletic Conference,2,GV,GVS,MIGV,262
Grand View Vikings,Grand View University,Vikings,Mid-States Football Association,NAIA,GV,GVU,IAGV,501982
Greensboro Pride,Greensboro College,Pride,USA South Athletic Conference,3,GRE,GC,NCGR,263
Greenville Panthers,Greenville College,Panthers,Upper Midwest Athletic Conference,3,GCP,GC,ILGV,1111
Grinnell Pioneers,Grinnell College,Pioneers,Midwest Conference,3,GRI,GC,IAGN,264
Grove City Wolverines,Grove City College,Wolverines,Presidents Athletic Conference,3,GRO,GCC,PAGC,265
Guilford Quakers,Guilford College,Quakers,Old Dominion Athletic Conference,3,GUI,GC,NCGU,1112
